CHAVE DE ACESSO;MODELO;SêRIE;NÈMERO;NATUREZA DA OPERAÄ«O;DATA EMISS«O;EVENTO MAIS RECENTE;DATA/HORA ;CPF/CNPJ Emitente;RAZ«O SOCIAL EMITENTE;INSCRIÄ«O ESTADUAL EMITENTE;UF EMITENTE;MUNICIçPIO EMITENTE;CNPJ DESTINATµRIO;NOME DESTINATµÅRIO;UF DESTINATµRIO;INDICADOR IE DESTINATµRIO;DESTINO DA OPERAÄ«O;CONSUMIDOR FINAL;PRESEN«ÄA DO COMPRADOR; VALOR NOTA FISCAL 
35240103549807000176550010001603701247148068;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;160370;Retorno de mercadoria ou bem recebido para conserto ou repar;24/01/2024 13:04;AUTORIZAÄ«O DE USO;29/01/2024 08:52;3549807000176;PADTEC S/A;244661040111;SP;CAMPINAS;10207029000100;COMANDO DO COMANDO MILITAR DA AMAZONIA;AM;CONTRIBUINTE ISENTO;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;9 - OPERAÄ«O N«O PRESENCIAL, OUTROS; 29461.38 
43240121783698000139550000000050201758542890;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;0;5020;Venda de Mercadoria Mesma UF;26/01/2024 12:58;AUTORIZAÄ«O DE USO;26/01/2024 12:59;21783698000139;VISAO DISTRIBUIDORA DE MEDICAMENTOS LTDA;963630202;RS;PORTO ALEGRE;9563296000204;GRUPO DE ARTILHARIA DE CAMPANHA;RS;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;9 - OPERAÄ«O N«O PRESENCIAL, OUTROS; 116.0 
25240108761132000148558929001803761379847297;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;892;900180376;VENDA;05/01/2024 15:51;AUTORIZAÄ«O DE USO;05/01/2024 15:51;***.165.104-**;JOSEFA DE SOUZA ABREU;-00001;PB;SAO JOAO DO RIO DO PEIXE;5526783000408;MINISTERIO DO DESENVOLVIMENTO SOCIAL, FAMILIA E COMBATE A FO;DF;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 362.94 
24240121172344000158550010000226611518005129;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;22661;5102 Venda Interna Normal;15/01/2024 00:00;AUTORIZAÄ«O DE USO;15/01/2024 06:18;21172344000158;J NUNES DISTRIBUIDORA DE ALIMENTOS EIRELI;204169810;RN;NATAL;24365710000183;UNIVERSIDADE FEDERAL DO RIO GRANDE NORTE;RN;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 71.2 
21240103526252000147558902430084471957013301;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;890;243008447;DA DE PRODUCAO DO ESTABELECIMENTO;19/01/2024 10:40;AUTORIZAÄ«O DE USO;19/01/2024 09:39;***.858.493-**;JUAREZ SILVA CABRAL;-00001;MA;SAO LUIS;5526783000165;MINISTERIO DO DESENVOLVIMENTO E ASSISTENCIA SOCIAL, FAMILIA;AM;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 832.97 
31240136933736000160550010000009641036036868;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;964;Venda de mercadoria adquirida ou recebida de terceiros;27/01/2024 11:38;AUTORIZAÄ«O DE USO;27/01/2024 11:59;36933736000160;N&C COMERCIO E DISTRIBUICAO DE DESCARTAVEIS LTDA;39446830095;MG;SAO JOSE DA LAPA;10727655000209;IFMG/SALINAS MG - INSTITUTO FEDERAL DO NORTE DE MG;MG;CONTRIBUINTE ICMS;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 937.5 
13240181243735001977550110003126831434389385;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;11;312683;Venda produ«ı«úo estab.destinada a n«úo contribuinte / Venda;16/01/2024 14:48;AUTORIZAÄ«O DE USO;16/01/2024 14:48;81243735001977;POSITIVO TECNOLOGIA S/A;62005901;AM;MANAUS;7777800000162;UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA;BA;CONTRIBUINTE ISENTO;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 3557.0 
51240107418552000163550070000298281013317735;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;7;29828;VENDA;08/01/2024 12:41;AUTORIZAÄ«O DE USO;08/01/2024 11:37;7418552000163;TIGRAO AUTO POSTO EIRELI;133116166;MT;CAMPINAPOLIS;394544005063;MINISTERIO DA SAUDE;MT;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;1 - OPERAÄ«O PRESENCIAL; 359.01 
52240119442190000125550010000002051000008053;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;205;VENDA DE MERCADORIAS REC. DE TERCEIROS;26/01/2024 07:09;AUTORIZAÄ«O DE USO;26/01/2024 08:09;19442190000125;AURAMEDI FARMACEUTICA LTDA;106610333;GO;APARECIDA DE GOIANIA;394544000851;MINISTERIO DA SAUDE;RS;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;1 - OPERAÄ«O PRESENCIAL; 26881.2 
43240115641333000177550010000138951880800008;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;13895;Venda;08/01/2024 10:34;AUTORIZAÄ«O DE USO;08/01/2024 10:36;15641333000177;SERCIMAQ VENDA E ASSISTENCIA TECNICA DE MAQUINAS E MOTORES L;1090369961;RS;SANTA MARIA;9575381000292;BASE ADMINISTRATIVA DA GUARNICAO DE SANTA MARIA;RS;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;1 - OPERAÄ«O PRESENCIAL; 20.0 
26240144232997000180550010000001061604736206;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;106;5102/5405/5933/ VENDA MERC. DENT. ESTADO;15/01/2024 09:42;AUTORIZAÄ«O DE USO;15/01/2024 09:42;44232997000180;JF CENTRO AUTOMOTIVO LTDA;100416993;PE;PETROLINA;10830301000449;INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO / CAMPUS FLORESTA;PE;CONTRIBUINTE ISENTO;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;1 - OPERAÄ«O PRESENCIAL; 207.25 
24240121172344000158550010000225941518005124;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;22594;5102 Venda Interna Normal;09/01/2024 00:00;AUTORIZAÄ«O DE USO;09/01/2024 05:44;21172344000158;J NUNES DISTRIBUIDORA DE ALIMENTOS EIRELI;204169810;RN;NATAL;394502039784;COMANDO DA MARINHA;RN;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 370.8 
21240100321961000106550010000027711281724627;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;2771;Venda;26/01/2024 10:23;AUTORIZAÄ«O DE USO;26/01/2024 10:33;321961000106;M SOUSA LIMA;121397777;MA;IMPERATRIZ;10735145000518;INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO MARANH;MA;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;9 - OPERAÄ«O N«O PRESENCIAL, OUTROS; 338.0 
35240134028316923228550010003680821895807710;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;368082;RETORNO DE MATERIAL DEPOSITADO EM ARMAZEM GERAL;18/01/2024 11:51;AUTORIZAÄ«O DE USO;18/01/2024 11:57;34028316923228;EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS;112388853119;SP;CAJAMAR;378257000181;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;DF;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 274.56 
23240114124286000121550010000214351719667666;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;21435;VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS EM OP;05/01/2024 16:03;AUTORIZAÄ«O DE USO;05/01/2024 16:03;14124286000121;MAVI CONSTRUCOES - LTDA;65721551;CE;FORTALEZA;394502011693;ESCOLA DE APRENDIZES MARINHEIROS DO CEARA;CE;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;1 - OPERAÄ«O PRESENCIAL; 293.86 
35240107689002001070550040009651251068643412;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;4;965125;Outra saida merc. prest. serv. nao especificado;30/01/2024 08:24;AUTORIZAÄ«O DE USO;30/01/2024 08:25;7689002001070;EMBRAER S.A.;688619823116;SP;TAUBATE;394429008004;BASE A«?REA DE AN«ÅPOLIS - BAAN;GO;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;9 - OPERAÄ«O N«O PRESENCIAL, OUTROS; 16577.25 
11240105082751000118550030000028071961141439;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;3;2807;VENDA MERCADORIA ADQUIRIDA/RECEBIDA DE TERCEIROS;30/01/2024 09:56;AUTORIZAÄ«O DE USO;30/01/2024 09:16;5082751000118;DELICIA DO NORTE COMERCIO, SERVICOS E REPRESENTACAO DE PRODU;3734901;RO;PORTO VELHO;394429019200;COMANDO DA AERONAUTICA.;RO;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;0 - NORMAL;1 - OPERAÄ«O PRESENCIAL; 239.2 
33240142498675000152558900084252611221488139;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;890;8425261;Venda de mercadoria adquirida ou recebida de terceiros;04/01/2024 11:31;AUTORIZAÄ«O DE USO;04/01/2024 11:39;50500312000132;50.500.312 LEANDRO PIMENTEL CORREA DE SA;13007411;RJ;RIO DE JANEIRO;33781055004980;INSTITUTO DE TECNOLOGIA EM F«ÅRMACOS;RJ;CONTRIBUINTE ICMS;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;1 - OPERAÄ«O PRESENCIAL; 600.0 
31240119400787000107550020001382881596542602;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;2;138288;BONIFICACAO / DOACAO/BRINDE;29/01/2024 18:30;AUTORIZAÄ«O DE USO;29/01/2024 18:30;19400787000107;QUIBASA QUIMICA BASICA LTDA;622059920069;MG;BELO HORIZONTE;25944455000196;UNIVERSIDADE FEDERAL DE VICOSA;MG;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 198.6 
15240105054903000179558900026000941813445058;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;890;2600094;S;23/01/2024 14:39;AUTORIZAÄ«O DE USO;23/01/2024 15:21;***.152.402-**;ANTONIO DE PAIVA COSTA;-00001;PA;OBIDOS;5526783000408;MINISTERIO DO DESENVOLVIMENTO SOCIAL, FAMILIA E COMBATE A FO;DF;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 2286.39 
35240134028316923228550010003682871190911646;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;368287;RETORNO DE MATERIAL DEPOSITADO EM ARMAZEM GERAL;22/01/2024 16:08;AUTORIZAÄ«O DE USO;22/01/2024 16:26;34028316923228;EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS;112388853119;SP;CAJAMAR;378257000181;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;DF;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 274.56 
35240113158576000123550010000007151038000006;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;715;Venda de mercadoria;12/01/2024 13:42;AUTORIZAÄ«O DE USO;12/01/2024 13:56;13158576000123;F C NICOLAU EQUIPAMENTOS PARA LABORAT«?RIO LTDA.;206868421110;SP;BARUERI;396895006247;MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO;MG;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 43499.99 
35240134028316923228550010003691091625593939;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;369109;RETORNO DE MATERIAL DEPOSITADO EM ARMAZEM GERAL;25/01/2024 17:38;AUTORIZAÄ«O DE USO;25/01/2024 18:56;34028316923228;EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS;112388853119;SP;CAJAMAR;378257000181;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;DF;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 274.56 
33240131343734000105550010000052751051465399;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;5275;VENDA DE PRODUCAO DO ESTABELECIMENTO;26/01/2024 15:47;AUTORIZAÄ«O DE USO;26/01/2024 15:46;31343734000105;CORPO ASTRAL COMERCIAL E INDUSTRIAL LTDA;83274956;RJ;RIO DE JANEIRO;394544020100;MINISTERIO DA SAUDE - HOSPITAL FEDERAL DO ANDARAI;RJ;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;2 - OPERACAÄ«O N«O PRESENCIAL, PELA INTERNET; 1840.0 
25240108761132000148558929001845831104091314;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;892;900184583;VENDA;18/01/2024 12:59;AUTORIZAÄ«O DE USO;18/01/2024 12:59;***.892.434-**;ALEXSANDRO BARBOSA LAURENTINO;-00001;PB;MARI;5526783000408;MINISTERIO DO DESENVOLVIMENTO SOCIAL, FAMILIA E COMBATE A FO;DF;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 1955.0 
42240107200582000107550010000036381500353278;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;3638;Venda de mercadoria adquirida ou recebida de terceiros, ou q;26/01/2024 08:29;AUTORIZAÄ«O DE USO;26/01/2024 08:35;7200582000107;L G COMERCIAL DE MAQUINAS AGRICOLAS LTDA;254915477;SC;CHAPECO;8829974000275;INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE;DF;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;0 - NORMAL;0 - N«O SE APLICA; 6643.48 
33240134164319000506550020007285111404046887;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;2;728511;OUTRAS SAIDAS;17/01/2024 09:23;AUTORIZAÄ«O DE USO;17/01/2024 10:05;34164319000506;CASA DA MOEDA DO BRASIL;82346988;RJ;RIO DE JANEIRO;394494003585;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;RJ;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;0 - N«O SE APLICA; 13033.16 
33240131673254000102550000009419131947020033;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;0;941913;Outras Entradas;16/01/2024 08:47;AUTORIZAÄ«O DE USO;16/01/2024 08:47;31673254000102;LABORATORIOS B.BRAUN S.A;80103077;RJ;SAO GONCALO;94877586000382;UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG;RS;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;9 - OPERAÄ«O N«O PRESENCIAL, OUTROS; 726081.6 
52240134274233010248550000000095681192430548;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;0;9568;Vda Cmb/Lub.cons/usu.final estab.outra UF;15/01/2024 16:01;AUTORIZAÄ«O DE USO;15/01/2024 16:01;34274233010248;VIBRA ENERGIA S.A;100235549;GO;ANAPOLIS;394429000100;COMANDO DA AERONAUTICA;DF;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;1 - OPERAÄ«O PRESENCIAL; 11758.92 
23240106628333000146550000003193591965191880;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;0;319359;VENDA DE PRODUCAO DO ESTABELECIMENTO, DESTINADA A NAO CONTRI;16/01/2024 10:49;AUTORIZAÄ«O DE USO;16/01/2024 11:05;6628333000146;FARMACE - INDUSTRIA QUIMICO FARMACEUTICA CEARENSE LTDA;68480075;CE;BARBALHA;394544021182;HOSPITAL SERVIDORES DO ESTADO RJ;RJ;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;9 - OPERAÄ«O N«O PRESENCIAL, OUTROS; 56100.0 
13240132969749000138550010000025911980503676;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;2591;Venda de mercadoria;22/01/2024 00:22;AUTORIZAÄ«O DE USO;22/01/2024 00:22;32969749000138;R G XAVIER GUIMARAES LTDA;54080185;AM;MANAUS;9580252000101;CENTRO DE EMBARCACOES DO COMANDO MILITAR DA AMAZONIA;AM;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;9 - OPERAÄ«O N«O PRESENCIAL, OUTROS; 3682.9 
26240100323090000151550010000778311445412925;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;77831;REMES MAT PREST SERV;12/01/2024 12:03;AUTORIZAÄ«O DE USO;16/01/2024 15:25;323090000151;SOLL -SERVICOS OBRAS E LOCACOES LTDA;23874090;PE;OLINDA;394544004172;MINISTERIO DA SAUDE DISTRITO SANITARIO ESPECIAL INDIGENA PE;PE;N«üO CONTRIBUINTE;1 - OPERAÄ«O INTERNA;1 - CONSUMIDOR FINAL;9 - OPERAÄ«O N«O PRESENCIAL, OUTROS; 586.3 
43240112889035000102550010003280411514625164;55 - NF-E EMITIDA EM SUBSTITUI«?«üO AO MODELO 1 OU 1A;1;328041;VENDA DE MERCADORIA ADQ OU RECEB DE TERC, DEST A NAO CONTRIB;16/01/2024 09:22;AUTORIZAÄ«O DE USO;16/01/2024 09:22;12889035000102;INOVAMED HOSPITALAR LTDA;390157570;RS;ERECHIM;394544004172;MINISTERIO DA SAUDE DISTRITO SANITARIO ESPECIAL INDIGENA PE;PE;N«üO CONTRIBUINTE;2 - OPERAÄ«O INTERESTADUAL;1 - CONSUMIDOR FINAL;9 - OPERAÄ«O N«O PRESENCIAL, OUTROS; 2743.2 
